0 0 0
0.01 0 5e-05
0.02 0.0001 0.0002
0.03 0.0003 0.00045
0.04 0.0006 0.0008
0.05 0.001 0.00125
0.06 0.0015 0.0018
0.07 0.0021 0.00245
0.08 0.0028 0.0032
0.09 0.0036 0.00405
0.1 0.0045 0.005
0.11 0.0055 0.00605
0.12 0.0066 0.0072
0.13 0.0078 0.00845
0.14 0.0091 0.0098
0.15 0.0105 0.01125
0.16 0.012 0.0128
0.17 0.0136 0.01445
0.18 0.0153 0.0162
0.19 0.0171 0.01805
0.2 0.019 0.02
0.21 0.021 0.02205
0.22 0.0231 0.0242
0.23 0.0253 0.02645
0.24 0.0276 0.0288
0.25 0.03 0.03125
0.26 0.0325 0.0338
0.27 0.0351 0.03645
0.28 0.0378 0.0392
0.29 0.0406 0.04205
0.3 0.0435 0.045
0.31 0.0465 0.04805
0.32 0.0496 0.0512
0.33 0.0528 0.05445
0.34 0.0561 0.0578
0.35 0.0595 0.06125
0.36 0.063 0.0648
0.37 0.0666 0.06845
0.38 0.0703 0.0722
0.39 0.0741 0.07605
0.4 0.078 0.08
0.41 0.082 0.08405
0.42 0.0861 0.0882
0.43 0.0903 0.09245
0.44 0.0946 0.0968
0.45 0.099 0.10125
0.46 0.1035 0.1058
0.47 0.1081 0.11045
0.48 0.1128 0.1152
0.49 0.1176 0.12005
0.5 0.1225 0.125
0.51 0.1275 0.13005
0.52 0.1326 0.1352
0.53 0.1378 0.14045
0.54 0.1431 0.1458
0.55 0.1485 0.15125
0.56 0.154 0.1568
0.57 0.1596 0.16245
0.58 0.1653 0.1682
0.59 0.1711 0.17405
0.6 0.177 0.18
0.61 0.183 0.18605
0.62 0.1891 0.1922
0.63 0.1953 0.19845
0.64 0.2016 0.2048
0.65 0.208 0.21125
0.66 0.2145 0.2178
0.67 0.2211 0.22445
0.68 0.2278 0.2312
0.69 0.2346 0.23805
0.7 0.2415 0.245
0.71 0.2485 0.25205
0.72 0.2556 0.2592
0.73 0.2628 0.26645
0.74 0.2701 0.2738
0.75 0.2775 0.28125
0.76 0.285 0.2888
0.77 0.2926 0.29645
0.78 0.3003 0.3042
0.79 0.3081 0.31205
0.8 0.316 0.32
0.81 0.324 0.32805
0.82 0.3321 0.3362
0.83 0.3403 0.34445
0.84 0.3486 0.3528
0.85 0.357 0.36125
0.86 0.3655 0.3698
0.87 0.3741 0.37845
0.88 0.3828 0.3872
0.89 0.3916 0.39605
0.9 0.4005 0.405
0.91 0.4095 0.41405
0.92 0.4186 0.4232
0.93 0.4278 0.43245
0.94 0.4371 0.4418
0.95 0.4465 0.45125
0.96 0.456 0.4608
0.97 0.4656 0.47045
0.98 0.4753 0.4802
0.99 0.4851 0.49005
1 0.495 0.5
1.01 0.505 0.51005
1.02 0.5151 0.5202
1.03 0.5253 0.53045
1.04 0.5356 0.5408
1.05 0.546 0.55125
1.06 0.5565 0.5618
1.07 0.5671 0.57245
1.08 0.5778 0.5832
1.09 0.5886 0.59405
1.1 0.5995 0.605
1.11 0.6105 0.61605
1.12 0.6216 0.6272
1.13 0.6328 0.63845
1.14 0.6441 0.6498
1.15 0.6555 0.66125
1.16 0.667 0.6728
1.17 0.6786 0.68445
1.18 0.6903 0.6962
1.19 0.7021 0.70805
1.2 0.714 0.72
1.21 0.726 0.73205
1.22 0.7381 0.7442
1.23 0.7503 0.75645
1.24 0.7626 0.7688
1.25 0.775 0.78125
1.26 0.7875 0.7938
1.27 0.8001 0.80645
1.28 0.8128 0.8192
1.29 0.8256 0.83205
1.3 0.8385 0.845
1.31 0.8515 0.85805
1.32 0.8646 0.8712
1.33 0.8778 0.88445
1.34 0.8911 0.8978
1.35 0.9045 0.91125
1.36 0.918 0.9248
1.37 0.9316 0.93845
1.38 0.9453 0.9522
1.39 0.9591 0.96605
1.4 0.973 0.98
1.41 0.987 0.99405
1.42 1.0011 1.0082
1.43 1.0153 1.02245
1.44 1.0296 1.0368
1.45 1.044 1.05125
1.46 1.0585 1.0658
1.47 1.0731 1.08045
1.48 1.0878 1.0952
1.49 1.1026 1.11005
1.5 1.1175 1.125
1.51 1.1325 1.14005
1.52 1.1476 1.1552
1.53 1.1628 1.17045
1.54 1.1781 1.1858
1.55 1.1935 1.20125
1.56 1.209 1.2168
1.57 1.2246 1.23245
1.58 1.2403 1.2482
1.59 1.2561 1.26405
1.6 1.272 1.28
1.61 1.288 1.29605
1.62 1.3041 1.3122
1.63 1.3203 1.32845
1.64 1.3366 1.3448
1.65 1.353 1.36125
1.66 1.3695 1.3778
1.67 1.3861 1.39445
1.68 1.4028 1.4112
1.69 1.4196 1.42805
1.7 1.4365 1.445
1.71 1.4535 1.46205
1.72 1.4706 1.4792
1.73 1.4878 1.49645
1.74 1.5051 1.5138
1.75 1.5225 1.53125
1.76 1.54 1.5488
1.77 1.5576 1.56645
1.78 1.5753 1.5842
1.79 1.5931 1.60205
1.8 1.611 1.62
1.81 1.629 1.63805
1.82 1.6471 1.6562
1.83 1.6653 1.67445
1.84 1.6836 1.6928
1.85 1.702 1.71125
1.86 1.7205 1.7298
1.87 1.7391 1.74845
1.88 1.7578 1.7672
1.89 1.7766 1.78605
1.9 1.7955 1.805
1.91 1.8145 1.82405
1.92 1.8336 1.8432
1.93 1.8528 1.86245
1.94 1.8721 1.8818
1.95 1.8915 1.90125
1.96 1.911 1.9208
1.97 1.9306 1.94045
1.98 1.9503 1.9602
1.99 1.9701 1.98005
